date,jdobs,filter,absmag,magpsf,sigmamagpsf,limmag,instrument,programid,reducedby,refsys,issub,isdiffpos
"2019 Aug 03",2458698.6954,"g", 99.0, 99.0,99.0, 17.46,"P48+ZTF","1","None","None",True,False
"2019 Aug 03",2458698.6954,"g", 99.0, 99.0,99.0, 17.46,"P48+ZTF","1","None","None",True,True
"2019 Aug 06",2458701.6751,"r", 99.0, 99.0,99.0, 16.42,"P48+ZTF","1","None","None",True,False
"2019 Aug 06",2458701.6751,"r", 99.0, 99.0,99.0, 16.42,"P48+ZTF","1","None","None",True,True
"2019 Aug 10",2458705.6647,"r", -27.97, 17.76,0.09, 19.70,"P48+ZTF","1","None","None",True,False
"2019 Aug 10",2458705.7496,"g", -27.47, 18.26,0.10, 19.22,"P48+ZTF","1","None","None",True,False
"2019 Aug 13",2458708.6531,"g", -27.48, 18.24,0.10, 19.51,"P48+ZTF","1","None","None",True,False
"2019 Aug 17",2458712.7379,"r", -28.03, 17.70,0.08, 19.31,"P48+ZTF","1","None","None",True,False
"2019 Aug 20",2458715.6541,"g", -27.52, 18.21,0.11, 20.46,"P48+ZTF","1","None","None",True,False
"2019 Aug 23",2458718.6434,"r", -28.14, 17.59,0.08, 19.84,"P48+ZTF","1","None","None",True,False
"2019 Aug 23",2458718.6564,"g", -27.61, 18.12,0.07, 20.27,"P48+ZTF","1","None","None",True,False
"2019 Aug 28",2458723.6530,"g", -27.56, 18.17,0.08, 20.00,"P48+ZTF","1","None","None",True,False
"2019 Aug 31",2458726.6381,"r", -28.07, 17.66,0.09, 19.79,"P48+ZTF","1","None","None",True,False
"2019 Aug 31",2458726.6638,"g", -27.55, 18.18,0.09, 20.13,"P48+ZTF","1","None","None",True,False
"2019 Sep 02",2458728.6467,"g", -27.56, 18.16,0.09, 20.15,"P48+ZTF","2","None","None",True,False
"2019 Sep 03",2458729.6434,"g", -27.59, 18.14,0.11, 19.15,"P48+ZTF","2","None","None",True,False
"2019 Sep 08",2458734.6491,"g", -27.48, 18.25,0.09, 19.42,"P48+ZTF","1","None","None",True,False
"2019 Sep 24",2458750.6143,"r", -28.10, 17.62,0.07, 18.59,"P48+ZTF","2","None","None",True,False
"2019 Sep 24",2458750.6192,"r", -28.07, 17.66,0.07, 19.16,"P48+ZTF","2","None","None",True,False
"2019 Sep 24",2458750.6241,"r", -28.01, 17.72,0.10, 19.13,"P48+ZTF","2","None","None",True,False
"2019 Sep 24",2458750.6290,"r", -28.04, 17.69,0.09, 19.06,"P48+ZTF","2","None","None",True,False
"2019 Sep 24",2458750.6391,"g", -27.52, 18.21,0.16, 19.03,"P48+ZTF","1","None","None",True,False
"2019 Sep 28",2458754.6171,"r", -28.07, 17.66,0.07, 19.55,"P48+ZTF","2","None","None",True,False
"2019 Sep 28",2458754.6219,"r", -27.98, 17.75,0.08, 19.50,"P48+ZTF","2","None","None",True,False
"2019 Oct 02",2458758.6034,"r", -27.87, 17.86,0.07, 18.76,"P48+ZTF","2","None","None",True,False
"2019 Oct 02",2458758.6082,"r", -27.96, 17.77,0.07, 18.98,"P48+ZTF","2","None","None",True,False
"2019 Oct 02",2458758.6131,"r", -27.93, 17.80,0.08, 19.34,"P48+ZTF","2","None","None",True,False
"2019 Oct 02",2458758.6179,"r", -27.93, 17.80,0.08, 19.26,"P48+ZTF","2","None","None",True,False
"2019 Oct 04",2458760.6010,"r", -27.93, 17.80,0.08, 18.65,"P48+ZTF","2","None","None",True,False
"2019 Oct 04",2458760.6059,"r", -27.98, 17.74,0.07, 18.88,"P48+ZTF","2","None","None",True,False
"2019 Oct 04",2458760.6107,"r", -27.95, 17.78,0.09, 19.13,"P48+ZTF","2","None","None",True,False
"2019 Oct 04",2458760.6155,"r", -27.95, 17.78,0.07, 19.18,"P48+ZTF","2","None","None",True,False
"2019 Oct 05",2458761.6015,"g", 99.0, 99.0,99.0, 18.86,"P48+ZTF","1","None","None",True,False
"2019 Oct 05",2458761.6015,"g", 99.0, 99.0,99.0, 18.86,"P48+ZTF","1","None","None",True,True
"2019 Oct 05",2458761.6103,"r", -27.98, 17.75,0.07, 19.16,"P48+ZTF","1","None","None",True,False
"2019 Oct 06",2458762.5990,"r", -27.73, 18.00,0.11, 18.56,"P48+ZTF","2","None","None",True,False
"2019 Oct 06",2458762.6040,"r", -27.90, 17.83,0.09, 19.00,"P48+ZTF","2","None","None",True,False
"2019 Oct 06",2458762.6090,"r", -27.89, 17.84,0.09, 19.26,"P48+ZTF","2","None","None",True,False
"2019 Oct 06",2458762.6140,"r", -27.86, 17.86,0.08, 19.15,"P48+ZTF","2","None","None",True,False
"2019 Oct 08",2458764.5964,"r", -27.87, 17.86,0.09, 18.54,"P48+ZTF","2","None","None",True,False
"2019 Oct 08",2458764.6013,"r", -27.84, 17.89,0.09, 18.99,"P48+ZTF","2","None","None",True,False
"2019 Oct 08",2458764.6062,"r", -27.80, 17.93,0.12, 19.19,"P48+ZTF","2","None","None",True,False
"2019 Oct 08",2458764.6110,"r", -27.79, 17.94,0.11, 19.16,"P48+ZTF","2","None","None",True,False
"2019 Oct 10",2458766.5950,"r", -27.74, 17.99,0.17, 18.03,"P48+ZTF","2","None","None",True,False
"2019 Oct 10",2458766.6000,"r", -27.55, 18.17,0.14, 18.48,"P48+ZTF","2","None","None",True,False
"2019 Oct 10",2458766.6050,"r", -27.63, 18.10,0.12, 18.57,"P48+ZTF","2","None","None",True,False
"2019 Oct 10",2458766.6100,"r", -27.57, 18.16,0.16, 18.47,"P48+ZTF","2","None","None",True,False
"2019 Dec 10",2458828.0535,"r", -26.98, 18.75,0.15, 19.56,"P48+ZTF","2","None","None",True,False
"2019 Dec 10",2458828.0583,"r", -27.01, 18.72,0.17, 19.69,"P48+ZTF","2","None","None",True,False
